2026-05-10 01:42:24 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 01:43:41 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 01:44:59 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 01:46:16 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 01:47:33 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 01:48:50 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 01:50:06 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 01:51:22 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 01:52:40 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 01:53:58 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:55:15 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 01:56:33 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:57:50 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 01:59:07 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:00:24 INFO Pomiar: deszczówka=141 cm (14%), szambo=75 cm (54%)
2026-05-10 02:01:41 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:02:57 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:04:13 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:05:31 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:06:49 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:08:05 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 02:09:23 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 02:10:39 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:11:55 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:13:12 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:14:31 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:15:47 INFO Pomiar: deszczówka=142 cm (13%), szambo=76 cm (54%)
2026-05-10 02:17:03 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:18:21 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:19:38 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 02:20:54 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 02:22:10 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 02:23:27 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 02:24:44 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 02:26:00 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:27:16 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 02:28:33 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:29:50 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:31:06 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:32:22 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 02:33:39 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:34:55 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 02:36:12 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:37:29 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:38:45 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:40:01 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:41:17 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 02:42:33 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:43:50 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:45:06 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:46:24 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
